v8-version,8,4,371,19,-node.17,0
code-creation,Builtin,3,2390,0x139b240,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,2394,0x139b280,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,2397,0x139b2c0,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,2401,0x139b320,287,CallApiCallback
code-creation,Builtin,3,2404,0x139b440,269,CallApiGetter
code-creation,Builtin,3,2407,0x139b560,12,HandleApiCall
code-creation,Builtin,3,2411,0x139b580,12,HandleApiCallAsFunction
code-creation,Builtin,3,2414,0x139b5a0,12,HandleApiCallAsConstructor
code-creation,Builtin,3,2417,0x139b5c0,72,AllocateInYoungGeneration
code-creation,Builtin,3,2421,0x139b620,60,AllocateRegularInYoungGeneration
code-creation,Builtin,3,2424,0x139b660,72,AllocateInOldGeneration
code-creation,Builtin,3,2427,0x139b6c0,60,AllocateRegularInOldGeneration
code-creation,Builtin,3,2431,0x139b700,484,CopyFastSmiOrObjectElements
code-creation,Builtin,3,2434,0x139b900,563,GrowFastDoubleElements
code-creation,Builtin,3,2437,0x139bb40,442,GrowFastSmiOrObjectElements
code-creation,Builtin,3,2441,0x139bd00,353,NewArgumentsElements
code-creation,Builtin,3,2444,0x139be80,500,DebugBreakTrampoline
code-creation,Builtin,3,2447,0x139c080,141,FrameDropperTrampoline
code-creation,Builtin,3,2451,0x139c120,45,HandleDebuggerStatement
code-creation,Builtin,3,2469,0x139c160,254,ToObject
code-creation,Builtin,3,2472,0x139c260,100,ToBoolean
code-creation,Builtin,3,2475,0x139c2e0,269,OrdinaryToPrimitive_Number
code-creation,Builtin,3,2479,0x139c400,269,OrdinaryToPrimitive_String
code-creation,Builtin,3,2482,0x139c520,219,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,2486,0x139c600,219,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,2490,0x139c6e0,219,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,2494,0x139c7c0,85,StringToNumber
code-creation,Builtin,3,2497,0x139c820,129,ToName
code-creation,Builtin,3,2500,0x139c8c0,235,NonNumberToNumber
code-creation,Builtin,3,2503,0x139c9c0,255,NonNumberToNumeric
code-creation,Builtin,3,2507,0x139cac0,239,ToNumber
code-creation,Builtin,3,2510,0x139cbc0,272,ToNumberConvertBigInt
code-creation,Builtin,3,2513,0x139cce0,275,ToNumeric
code-creation,Builtin,3,2516,0x139ce00,261,NumberToString
code-creation,Builtin,3,2520,0x139cf20,382,ToLength
code-creation,Builtin,3,2523,0x139d0a0,140,Typeof
code-creation,Builtin,3,2525,0x139d140,69,GetSuperConstructor
code-creation,Builtin,3,2529,0x139d1a0,125,BigIntToI64
code-creation,Builtin,3,2532,0x139d220,12,BigIntToI32Pair
code-creation,Builtin,3,2535,0x139d240,309,I64ToBigInt
code-creation,Builtin,3,2539,0x139d380,12,I32PairToBigInt
code-creation,Builtin,3,2547,0x139d3a0,108,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,2551,0x139d420,3433,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,2554,0x139e1a0,15988,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,2557,0x13a2020,245,LoadGlobalIC_NoFeedback
code-creation,Builtin,3,2561,0x13a2120,68,LoadIC_FunctionPrototype
code-creation,Builtin,3,2564,0x13a2180,20,LoadIC_StringLength
code-creation,Builtin,3,2568,0x13a21a0,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,2572,0x13a21c0,3064,LoadIC_NoFeedback
code-creation,Builtin,3,2575,0x13a2dc0,40,StoreGlobalIC_Slow
code-creation,Builtin,3,2579,0x13a2e00,6952,StoreIC_NoFeedback
code-creation,Builtin,3,2582,0x13a4940,188,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,2586,0x13a4a00,80,LoadIndexedInterceptorIC
code-creation,Builtin,3,2590,0x13a4a60,340,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,2593,0x13a4bc0,340,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2598,0x13a4d20,340,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,2603,0x13a4e80,340,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,2607,0x13a4fe0,6836,StoreFastElementIC_Standard
code-creation,Builtin,3,2611,0x13a6aa0,10700,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2616,0x13a9480,6832,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,2620,0x13aaf40,6500,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,2624,0x13ac8c0,9396,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,2628,0x13aed80,21824,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2633,0x13b42e0,9396,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,2637,0x13b67a0,12372,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,2655,0x13b9800,760,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,2661,0x13b9b00,176,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,2666,0x13b9bc0,80,HasIndexedInterceptorIC
code-creation,Builtin,3,2670,0x13b9c20,156,EnqueueMicrotask
tick,0x7f5330e45a6f,2677,0,0x0,6
code-creation,Builtin,3,2802,0x13b9cc0,8,RunMicrotasksTrampoline
code-creation,Builtin,3,2814,0x13b9ce0,2472,RunMicrotasks
code-creation,Builtin,3,2818,0x13ba6a0,2338,HasProperty
code-creation,Builtin,3,2821,0x13bafe0,1108,DeleteProperty
code-creation,Builtin,3,2824,0x13bb440,1847,CopyDataProperties
code-creation,Builtin,3,2827,0x13bbb80,8794,SetDataProperties
code-creation,Builtin,3,2830,0x13bdde0,36,Abort
code-creation,Builtin,3,2833,0x13bde20,36,AbortCSAAssert
code-creation,Builtin,3,2837,0x13bde60,12,EmptyFunction
code-creation,Builtin,3,2840,0x13bde80,12,Illegal
code-creation,Builtin,3,2843,0x13bdea0,12,StrictPoisonPillThrower
code-creation,Builtin,3,2847,0x13bdec0,12,UnsupportedThrower
code-creation,Builtin,3,2850,0x13bdee0,65,ReturnReceiver
code-creation,Builtin,3,2853,0x13bdf40,36,ArrayConstructor
code-creation,Builtin,3,2856,0x13bdf80,413,ArrayConstructorImpl
code-creation,Builtin,3,2860,0x13be120,221,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,2865,0x13be200,221,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,2869,0x13be2e0,181,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,2873,0x13be3a0,181,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,2878,0x13be460,181,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,2882,0x13be520,181,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,2886,0x13be5e0,193,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,2906,0x13be6c0,193,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,2911,0x13be7a0,521,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,2915,0x13be9c0,485,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,2918,0x13bebc0,445,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,2941,0x13bed80,405,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,2945,0x13bef20,445,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,2949,0x13bf0e0,405,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,2953,0x13bf280,453,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,2957,0x13bf460,417,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,2961,0x13bf620,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,2964,0x13bf680,12,ArrayConcat
code-creation,Builtin,3,2967,0x13bf6a0,12,ArrayPrototypeFill
code-creation,Builtin,3,2970,0x13bf6c0,958,ArrayIncludesSmiOrObject
code-creation,Builtin,3,2974,0x13bfa80,148,ArrayIncludesPackedDoubles
code-creation,Builtin,3,2977,0x13bfb20,216,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,2980,0x13bfc00,561,ArrayIncludes
code-creation,Builtin,3,2983,0x13bfe40,882,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,2986,0x13c01c0,124,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,2989,0x13c0240,124,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,2992,0x13c02c0,569,ArrayIndexOf
code-creation,Builtin,3,2995,0x13c0500,12,ArrayPop
code-creation,Builtin,3,2998,0x13c0520,674,ArrayPrototypePop
code-creation,Builtin,3,3001,0x13c07e0,12,ArrayPush
code-creation,Builtin,3,3003,0x13c0800,2758,ArrayPrototypePush
code-creation,Builtin,3,3006,0x13c12e0,12,ArrayShift
code-creation,Builtin,3,3009,0x13c1300,12,ArrayUnshift
code-creation,Builtin,3,3012,0x13c1320,1074,CloneFastJSArray
code-creation,Builtin,3,3015,0x13c1760,2482,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,3018,0x13c2120,1082,ExtractFastJSArray
code-creation,Builtin,3,3021,0x13c2560,287,ArrayPrototypeEntries
code-creation,Builtin,3,3025,0x13c2680,271,ArrayPrototypeKeys
code-creation,Builtin,3,3028,0x13c27a0,287,ArrayPrototypeValues
code-creation,Builtin,3,3031,0x13c28c0,4332,ArrayIteratorPrototypeNext
code-creation,Builtin,3,3034,0x13c39c0,3968,FlattenIntoArray
code-creation,Builtin,3,3037,0x13c4960,3992,FlatMapIntoArray
code-creation,Builtin,3,3040,0x13c5900,508,ArrayPrototypeFlat
code-creation,Builtin,3,3043,0x13c5b00,556,ArrayPrototypeFlatMap
code-creation,Builtin,3,3046,0x13c5d40,12,ArrayBufferConstructor
code-creation,Builtin,3,3049,0x13c5d60,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,3053,0x13c5d80,12,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,3056,0x13c5da0,12,ArrayBufferIsView
code-creation,Builtin,3,3059,0x13c5dc0,12,ArrayBufferPrototypeSlice
code-creation,Builtin,3,3063,0x13c5de0,608,AsyncFunctionEnter
code-creation,Builtin,3,3066,0x13c6060,161,AsyncFunctionReject
code-creation,Builtin,3,3070,0x13c6120,153,AsyncFunctionResolve
code-creation,Builtin,3,3073,0x13c61c0,20,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,3,3077,0x13c61e0,1286,AsyncFunctionAwaitCaught
code-creation,Builtin,3,3080,0x13c6700,1286,AsyncFunctionAwaitUncaught
code-creation,Builtin,3,3084,0x13c6c20,187,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,3,3087,0x13c6ce0,179,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,3,3091,0x13c6da0,12,BigIntConstructor
code-creation,Builtin,3,3094,0x13c6dc0,12,BigIntAsUintN
code-creation,Builtin,3,3097,0x13c6de0,12,BigIntAsIntN
code-creation,Builtin,3,3100,0x13c6e00,12,BigIntPrototypeToLocaleString
code-creation,Builtin,3,3103,0x13c6e20,12,BigIntPrototypeToString
code-creation,Builtin,3,3106,0x13c6e40,12,BigIntPrototypeValueOf
code-creation,Builtin,3,3110,0x13c6e60,12,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,3113,0x13c6e80,12,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,3116,0x13c6ea0,12,CallSitePrototypeGetFileName
code-creation,Builtin,3,3120,0x13c6ec0,12,CallSitePrototypeGetFunction
code-creation,Builtin,3,3123,0x13c6ee0,12,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,3127,0x13c6f00,12,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,3135,0x13c6f20,12,CallSitePrototypeGetMethodName
code-creation,Builtin,3,3138,0x13c6f40,12,CallSitePrototypeGetPosition
code-creation,Builtin,3,3142,0x13c6f60,12,CallSitePrototypeGetPromiseIndex
code-creation,Builtin,3,3145,0x13c6f80,12,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,3,3149,0x13c6fa0,12,CallSitePrototypeGetThis
code-creation,Builtin,3,3152,0x13c6fc0,12,CallSitePrototypeGetTypeName
code-creation,Builtin,3,3156,0x13c6fe0,12,CallSitePrototypeIsAsync
code-creation,Builtin,3,3159,0x13c7000,12,CallSitePrototypeIsConstructor
code-creation,Builtin,3,3162,0x13c7020,12,CallSitePrototypeIsEval
code-creation,Builtin,3,3165,0x13c7040,12,CallSitePrototypeIsNative
code-creation,Builtin,3,3169,0x13c7060,12,CallSitePrototypeIsPromiseAll
code-creation,Builtin,3,3172,0x13c7080,12,CallSitePrototypeIsToplevel
code-creation,Builtin,3,3175,0x13c70a0,12,CallSitePrototypeToString
code-creation,Builtin,3,3178,0x13c70c0,12,ConsoleDebug
code-creation,Builtin,3,3181,0x13c70e0,12,ConsoleError
code-creation,Builtin,3,3184,0x13c7100,12,ConsoleInfo
code-creation,Builtin,3,3187,0x13c7120,12,ConsoleLog
code-creation,Builtin,3,3190,0x13c7140,12,ConsoleWarn
code-creation,Builtin,3,3193,0x13c7160,12,ConsoleDir
code-creation,Builtin,3,3196,0x13c7180,12,ConsoleDirXml
code-creation,Builtin,3,3199,0x13c71a0,12,ConsoleTable
code-creation,Builtin,3,3202,0x13c71c0,12,ConsoleTrace
